鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西區,房地(土地+建物),臺中市西區三民路一段50巷8號3樓-16,2.91,住,,,1080125,土地1建物1車位0,三層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840113,38.33,1,1,1,有,有,有,7300,190,,0.0,0,,RPSPMLPKKHOFFAB28DC
北屯區,房地(土地+建物)+車位,臺中市北屯區軍福十七路42號1樓,15.3,住,,,1080214,土地1建物1車位1,一層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0941021,99.97999999999999,2,1,1,有,有,有,12000,120,坡道平面,0.0,0,續租。；,RPTNMLPKKHOFFBB28DC
北區,房地(土地+建物),臺中市北區漢口路四段68號13樓-13,6.31,住,,,1080120,土地1建物1車位0,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850715,29.36,1,1,1,有,有,有,7000,238,,0.0,0,,RPUNMLPKKHOFFBB38DC
北屯區,房地(土地+建物),臺中市北屯區瀋陽路二段175號7樓-1,6.65,住,,,1080215,土地1建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0961231,54.760000000000005,1,1,1,有,有,有,12500,228,,0.0,0,,RPVNMLPKKHOFFBB48DC
豐原區,房地(土地+建物)+車位,臺中市豐原區豐原大道三段225號5樓之6,33.12,住,,,1080115,土地2建物1車位1,五層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1051230,154.09,3,1,2,有,有,有,29500,191,坡道平面,36.44,0,,RPPNMLPKKHOFFDB97CC
西屯區,房地(土地+建物),臺中市西屯區大墩路1012號,116.0,商,,,1080216,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0740621,383.97,6,2,4,有,無,無,43000,112,,0.0,0,,RPPNMLQKKHOFFCB97CC
西屯區,房地(土地+建物),臺中市西屯區福上巷319弄20號5樓,18.87,住,,,1080119,土地1建物0車位0,五層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0781206,18.869999999999997,1,0,1,有,無,有,7020,372,,0.0,0,此為台中市社會住宅包租代管試辦計畫，原價租金7800元，房東租金九折7020元，房客租金七折5460元。,RPOPMLSKKHOFFCB28CC
西屯區,房地(土地+建物)+車位,臺中市西屯區青海路二段242號17樓之5,8.46,商,,,1080119,土地1建物0車位1,十七層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830318,110.28,3,2,2,有,有,有,17100,155,坡道機械,0.0,0,此為台中市政府社會住宅包租代管試辦計畫，原價租金19000元，房東租金9折17100元，房客租金7折13300元。,RPPPMLSKKHOFFCB38CC
北屯區,房地(土地+建物),臺中市北屯區敦化路一段599號3樓之16,14.29,住,,,1080121,土地1建物0車位0,三層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830415,127.96,3,2,2,有,有,有,15300,120,,0.0,0,此為台中市政府社會住宅包租代管試辦計畫，原價租金17000元，房東租金9折15300元，房客租金7折11900元。,RPQPMLSKKHOFFBB38CC
北區,房地(土地+建物),臺中市北區自強街40巷2號,96.1,住,,,1080119,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,,96.1,1,1,1,有,無,有,10080,105,,0.0,0,此為台中市政府社會住宅包租代管試辦計畫，原價租金11200元，房東租金9折10080元，房客租金7折7840元。,RPSPMLSKKHOFFBB58CC
西區,建物,臺中市西區忠明南路112號11F-1,0.0,住,,,1080210,土地0建物1車位1,十一層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,104.84,2,2,1,有,有,有,23784,227,坡道機械,14.05,0,,RPTNMLSKKHOFFAB38CC
大雅區,房地(土地+建物),臺中市大雅區學府路415巷18號4樓,20.51,住,,,1080118,土地1建物1車位0,四層,6,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821008,100.52,3,2,2,有,無,有,13500,134,,0.0,0,此件為台中市政府社會住宅包租代管試辦計畫租金原價租金15000房東租金9折13500房客租金7折10500,RPPOMLSKKHOFFHB78CC
西區,房地(土地+建物)+車位,臺中市西區三民西路85號14樓之5,2120.0,其他,,,1080119,土地1建物1車位2,十四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1041214,150.38,3,2,2,有,有,有,29000,193,坡道平面,46.66,0,含管理費、稅金或水電等費用。；,RPVNMLTKKHOFFAB68CC
西區,房地(土地+建物)+車位,臺中市西區忠明南路116號6樓之9,5265.0,其他,,,1080120,土地1建物1車位1,六層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,89.86000000000001,2,2,1,有,有,有,25000,278,坡道平面,29.3,0,含管理費、稅金或水電等費用。；,RPTOMLTKKHOFFAB58CC
西區,房地(土地+建物),臺中市西區忠明南路116號4樓之8,5265.0,其他,,,1080123,土地1建物1車位0,四層,15,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0951222,114.32000000000001,1,2,1,有,無,有,25000,219,,0.0,0,含管理費、稅金或水電等費用。；,RPWOMLTKKHOFFAB88CC
北區,土地,文正段61-27地號,21.0,住,,,1080122,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,有,9500,452,,0.0,0,地上有未保存登記建物作住家使用,RPSNMLTKKHOFFBB48CC
北區,建物,臺中市北區博館東街３３號,0.0,住,,,1080129,土地0建物0車位0,一層,3,店面(店鋪),住商用,鋼筋混凝土加強磚造,,100.04,0,2,1,有,無,有,35000,350,,0.0,0,,RPTNMLTKKHOFFBB58CC
