編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPOOMLSLLHOFFBG58CA,12,1.11,共有部份,鋼筋混凝土造,95年9月21日,十四層,
RPWOMLPLLHOFFBG09CA,,175.90,住宅、停車空間,鋼筋混凝土造,107年10月5日,四層,二層 三層 四層 陽台 見其他登記事項
RPXOMLPLLHOFFBG56CA,,175.88,住宅、停車空間,鋼筋混凝土造,107年10月5日,四層,二層 三層 四層 陽台 見其他登記事項
RPPOMLQLLHOFFBG48CA,38,109.09,住家用,鋼筋混凝土加強磚造,70年2月28日,六層,六層
RPPOMLQLLHOFFBG48CA,38,27.15,共有部份,鋼筋混凝土造,70年2月28日,六層,
RPQOMLQLLHOFFBG58CA,13,38.32,住家用,鋼筋混凝土造,94年10月11日,六層,三層 陽台
RPQOMLQLLHOFFBG58CA,13,17.72,共有部份,鋼筋混凝土造,94年10月11日,六層,
RPQNMLRLLHOFFAG48CA,22,91.22,鄉村住宅,鋼筋混凝土造,86年4月8日,二層,一層 二層 陽台 平台
RPWNMLPLLHOFFBG98CA,,175.88,住宅、停車空間,鋼筋混凝土造,107年10月5日,四層,二層 三層 四層 陽台 見其他登記事項
RPVNMLQLLHOFFAG88CA,3,195.08,住家用,鋼筋混凝土〈ＲＣ〉,104年12月22日,三層,一層 二層 三層 陽台
RPVNMLQKMHOFFAG88CA,25,135.16,住家用,鋼筋混凝土造,82年12月20日,五層,二層 陽台
RPVNMLQKMHOFFAG88CA,,8.92,共同使用部份﹙車道﹚,鋼筋混凝土造,,五層,
RPXNMLQKMHOFFAG09CA,26,103.91,住家用,鋼筋混凝土造,81年12月11日,六層,四層 陽台
RPXNMLQKMHOFFAG09CA,26,18.34,共同使用部分﹙梯間﹚,鋼筋混凝土造,81年12月11日,六層,
RPXNMLQKMHOFFAG09CA,26,22.63,停車場,鋼筋混凝土造,81年12月11日,六層,
RPTNMLSLLHOFFAG88CA,1,172.29,住家用,鋼筋混凝土造,107年2月7日,三層,一層 二層 三層 陽台
RPPOMLQLLHOFFAG38CA,48,447.49,廠房．員工宿舍,一層：鐵筋加強磚造及磚造、二層：鐵筋加強磚造,60年7月15日,二層,一層 二層
RPWNMLQKMHOFFAG98CA,41,164.13,住家用,鋼筋混凝土造,67年4月12日,三層,一層 二層 三層
RPVNMLMJMHOFFAG38CA,3,213.86,住家用,鋼筋混凝土造,104年11月4日,三層,一層 二層 三層 陽台 騎樓 屋簷 見其他登記事項
RPPNMLRLLHOFFAG38CA,1,186.92,住家用,鋼筋混凝土（ＲＣ）,107年3月27日,三層,一層 二層 三層 陽台
RPQOMLOKOHOFFBG58CA,25,90.33,住家用,鋼筋混凝土造,83年4月19日,七層,七層 陽台
RPQOMLOKOHOFFBG58CA,25,17.91,共有部份,鋼筋混凝土造,83年4月19日,七層,
RPRNMLSLLHOFFAG68CA,22,167.28,住家用,鋼筋混凝土造,86年2月25日,三層,一層 二層 三層 陽台 平台
RPUNMLRLLHOFFAG88CA,22,35.57,住家用,鋼筋混凝土造,86年8月25日,十二層,十層
RPUNMLRLLHOFFAG88CA,22,7.08,防空避難室、梯間﹙機械室、水箱、通道﹚．共同使用部份,鋼筋混凝土造,86年8月25日,十二層,
RPUNMLRLLHOFFAG88CA,22,7.36,停車場﹙含一層汽車昇降機﹚．共同使用部份,鋼筋混凝土造,86年8月25日,十二層,
RPUNMLRLLHOFFAG88CA,22,10.74,梯間．共同使用部份,鋼筋混凝土造,86年8月25日,十二層,
RPQOMLRLLHOFFBG68CA,6,232.31,住宅、樓梯間,鋼筋混凝土造,102年5月10日,三層,一層 二層 三層 陽台 見其他登記事項
RPQNMLRLLHOFFBG58CA,38,113.14,住家用,鋼筋混凝土加強磚造,70年9月2日,二層,一層 二層
RPSNMLLJMHOFFBG08CA,25,27.67,住家用,鋼筋混凝土造,83年4月13日,十五層,四層 陽台
RPSNMLLJMHOFFBG08CA,25,7.71,共有部份,鋼筋混凝土造,83年4月13日,十五層,
RPSNMLLJMHOFFBG08CA,25,3.40,共有部份,鋼筋混凝土造,83年4月13日,十五層,
RPQNMLLJMHOFFAG97EA,39,121.50,住家用,鐵筋加強磚造,69年2月7日,二層,一層 二層
RPQOMLKKMHOFFBG97CA,11,111.21,集合住宅,鋼筋混凝土造,97年6月25日,十三層,八層 陽台
RPQOMLKKMHOFFBG97CA,11,86.04,共有部份,鋼筋混凝土造,97年6月25日,十三層,
RPQOMLKKMHOFFBG97CA,11,1.14,共有部份,鋼筋混凝土造,97年6月25日,十三層,
RPSNMLSLLHOFFBG09EA,24,62.63,住家用,鋼筋混凝土造,84年6月15日,二層,一層 平台
RPSNMLSLLHOFFBG09EA,24,10.08,共有部份,鋼筋混凝土造,84年6月15日,二層,
RPSOMLSLLHOFFBG56EA,24,62.63,住家用,鋼筋混凝土造,84年6月15日,二層,二層 陽台
RPSOMLSLLHOFFBG56EA,24,10.08,共有部份,鋼筋混凝土造,84年6月15日,二層,
RPQOMLSLLHOFFBG88DA,35,32.39,住家用,鋼筋混凝土造,72年10月7日,五層,三層 陽台
RPQOMLSLLHOFFBG88DA,35,6.06,共有部份,鋼筋混凝土造,72年10月7日,五層,
RPVOMLQKMHOFFBG09CA,25,94.74,住家用,鋼筋混凝土造,83年8月2日,七層,七層 陽台
RPVOMLQKMHOFFBG09CA,25,16.93,共有部份,鋼筋混凝土造,83年8月2日,七層,
RPVNMLSLLHOFFBG56CA,29,45.75,住家用,鋼造,78年9月25日,一層,一層 騎樓
RPTOMLRLLHOFFBG98CA,10,43.39,住家用,鋼筋混凝土造,98年3月13日,四層,二層 陽台
RPTOMLRLLHOFFBG98CA,10,44.77,共有部份,鋼筋混凝土造,98年3月13日,四層,
RPPOMLSLLHOFFBG68CA,38,97.62,住家用,鋼筋混凝土加強磚造,70年5月25日,二層,一層 二層
RPROMLSLLHOFFBG88CA,39,200.82,住家用,鋼筋混凝土造,69年4月28日,二層,一層 二層 騎樓
RPTOMLSLLHOFFBG09CA,2,39.13,集合住宅,鋼筋混凝土造,106年8月14日,十五層,十四層 陽台
RPTOMLSLLHOFFBG09CA,2,30.87,本共有部分之項目有停車空間、機電空間、管理委員會空間及屋頂突出物等４項,鋼筋混凝土造,106年8月14日,十五層,
RPVNMLRLLHOFFAG98CA,,179.83,住家用,鋼筋混凝土（ＲＣ）,107年11月6日,三層,一層 二層 三層 陽台
RPWNMLRLLHOFFAG09CA,,179.83,住家用,鋼筋混凝土（ＲＣ）,107年11月6日,三層,一層 二層 三層 陽台
RPXNMLSLLHOFFAG66CA,4,222.34,住家用,鋼筋混凝土造,103年9月25日,三層,一層 二層 三層 陽台 騎樓
RPPNMLTLLHOFFAG58CA,18,111.60,住家用,鋼筋混凝土造,89年11月24日,九層,二層 陽台
RPPNMLTLLHOFFAG58CA,18,51.93,防空避難室．停車場,鋼筋混凝土造,89年11月24日,九層,
