鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
北港鎮,土地,北港段1537-5地號,627.36,住,,,1080121,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12569999,20036,,0.0,0,,RPPNMLLKLHOFFEP09DA,0.0,0.0,0.0,,
二崙鄉,土地,港後段893-2地號,1448.34,,特定農業區,農牧用地,1080128,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1500000,1036,,0.0,0,,RPQNMLQJLHOFFCP86EA,0.0,0.0,0.0,,
斗南鎮,土地,新崙段133-4地號,777.43,,鄉村區,乙種建築用地,1071211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6580000,8464,,0.0,0,,RPSNMLNKLHOFFBP76EA,0.0,0.0,0.0,,
斗南鎮,土地,新崙段133-3地號,363.08,,鄉村區,乙種建築用地,1071211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3070000,8455,,0.0,0,,RPTNMLNKLHOFFBP86EA,0.0,0.0,0.0,,
大埤鄉,土地,埤頭段176地號,111.11,,鄉村區,乙種建築用地,1080123,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,460000,4140,,0.0,0,親友、員工或其他特殊關係間之交易。；含增建或未登記建物。；,RPPNMLQJLHOFFBP66EA,0.0,0.0,0.0,,
斗南鎮,房地(土地+建物),雲林縣斗南鎮明昌里明昌路46號六樓之一,21.54,住,,,1080218,土地1建物1車位0,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821215,116.42,3,1,2,有,有,2000000,17179,,0.0,0,,RPPNMLRJLHOFFBP66DA,73.6,0.0,5.98,,
西螺鎮,土地,市仔頭段66-1地號,529.24,住,,,1080109,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,15000000,28343,,0.0,0,,RPRNMLQJLHOFFCP86DA,0.0,0.0,0.0,,
西螺鎮,土地,西螺段85-19地號,7.2,住,,,1061121,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,65100,9042,,0.0,0,,RPSNMLRJLHOFFCP07DA,0.0,0.0,0.0,,
斗六市,房地(土地+建物),雲林縣斗六市久安路158巷38號11樓,29.33,,特定農業區,甲種建築用地,1080125,土地1建物1車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840330,127.03,3,2,2,有,有,1800000,14170,,0.0,0,,RPSNMLNJMHOFFAP56DA,71.91,0.0,8.45,,
斗六市,房地(土地+建物),雲林縣斗六市豐興路58號,553.5,,特定農業區,農牧用地,1080210,土地1建物1車位0,一層，騎樓，地下層,一層,農舍,農舍,加強磚造,0680707,85.95,1,2,1,有,無,5600000,,,0.0,0,,RPPNMLQJLHOFFAP09DA,85.95,0.0,0.0,,
麥寮鄉,土地,中山段1124地號,4478.24,,一般農業區,養殖用地,1080211,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5600000,1250,,0.0,0,有被農舍套繪註記之買賣。,RPUNMLNKLHOFFFP17CA,0.0,0.0,0.0,,
麥寮鄉,土地,中山段354-1地號,141.74,,一般農業區,養殖用地,1080220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,428763,3025,,0.0,0,被鄰地占用之買賣。,RPVNMLNKLHOFFFP27CA,0.0,0.0,0.0,,
口湖鄉,房地(土地+建物),雲林縣口湖鄉中正路一段１５８號,105.0,住,,,1080218,土地2建物1車位0,全,二層,透天厝,住家用,加強磚造,0860324,146.66,4,2,2,有,無,6000000,40911,,0.0,0,含增建或未登記建物。；,RPPNMLQJLHOFFEP76CA,135.99,0.0,10.67,,
北港鎮,房地(土地+建物),雲林縣北港鎮劉厝路２７０號,70.7,,鄉村區,乙種建築用地,1080221,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0700520,106.47,5,2,3,有,無,2500000,23481,,0.0,0,,RPSNMLQJLHOFFEP07CA,97.7,0.0,8.77,,
北港鎮,房地(土地+建物),雲林縣北港鎮公園路２７９巷５９號,81.0,住,,,1080126,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1040915,184.58,4,2,3,有,有,9680000,52443,,0.0,0,,RPSNMLSLLHOFFEP47CA,179.4,0.0,5.18,,
虎尾鎮,土地,過溪子段3999地號,2510.0,,特定農業區,農牧用地,1080124,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6987193,2784,,0.0,0,,RPUNMLMJMHOFFDP86CA,0.0,0.0,0.0,,
土庫鎮,土地,港興段988-6地號,352.71,,特定農業區,甲種建築用地,1080220,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700570,4821,,0.0,0,承買人需補貼出賣人顧請某人工資新台幣99430元,RPPNMLPKMHOFFDP76CA,0.0,0.0,0.0,,
虎尾鎮,房地(土地+建物),雲林縣虎尾鎮八德街１０３號十二樓之９,3.65,商,,,1080220,土地1建物1車位0,十二層,十三層,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960205,27.79,1,0,1,有,有,1000000,35984,,0.0,0,,RPQNMLPKMHOFFDP86CA,16.49,0.0,3.51,,
西螺鎮,房地(土地+建物),雲林縣西螺鎮光復西路６８之３號,94.0,住,,,1071230,土地0建物0車位0,一層,一層,倉庫,商業用,見其他登記事項,0910515,58.66,0,0,0,有,無,5670000,,,0.0,0,,RPPNMLQJLHOFFCP56CA,58.66,0.0,0.0,,
西螺鎮,土地,埤頭埧段1047地號,2178.0,,特定農業區,農牧用地,1080105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,17641800,8100,,0.0,0,,RPPNMLRJLHOFFCP66CA,0.0,0.0,0.0,,
西螺鎮,土地,埤頭埧段1048-1地號,1549.29,,特定農業區,農牧用地,1080105,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12549249,8100,,0.0,0,,RPQNMLRJLHOFFCP76CA,0.0,0.0,0.0,,
崙背鄉,土地,大豐段57地號,1860.0,,特定農業區,農牧用地,1080219,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1800000,968,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPRNMLNKLHOFFCP56CA,0.0,0.0,0.0,,
西螺鎮,房地(土地+建物),雲林縣西螺鎮興農西路１３０巷２１之１號，21之2號,503.0,住,,,1080122,土地4建物2車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1030505,375.24,10,4,6,有,無,23800000,63426,,0.0,0,,RPPNMLQLLHOFFCP76CA,353.12,22.12,0.0,,
斗南鎮,房地(土地+建物),雲林縣斗南鎮建國二路２６２巷６號,114.12,住,,,1060112,土地3建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1070601,244.24,3,3,3,有,無,10080000,41271,,0.0,0,,RPWNMLSJLHOFFBP37CA,212.31,0.0,31.93,,
斗南鎮,房地(土地+建物),雲林縣斗南鎮隆昌街１０１巷２號,122.0,住,,,1071231,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1071121,180.3,4,1,3,有,無,8250000,45757,,0.0,0,,RPRNMLKLLHOFFBP88CA,166.4,0.0,13.9,,
斗南鎮,房地(土地+建物),雲林縣斗南鎮隆昌街１０３號,109.0,住,,,1071231,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1071121,174.83,4,1,4,有,無,8680000,49648,,0.0,0,,RPSNMLKLLHOFFBP98CA,164.02,0.0,10.81,,
斗南鎮,房地(土地+建物),雲林縣斗南鎮隆昌街１０１巷３號,116.0,住,,,1071231,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1071121,159.0,4,1,3,有,無,7850000,49371,,0.0,0,,RPTNMLKLLHOFFBP09CA,147.6,0.0,11.4,,
斗南鎮,房地(土地+建物),雲林縣斗南鎮隆昌街１０１巷１號,97.0,住,,,1071231,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1071121,162.24,4,1,3,有,無,8020000,49433,,0.0,0,,RPUNMLKLLHOFFBP56CA,148.35,0.0,13.89,,
斗南鎮,房地(土地+建物),雲林縣斗南鎮隆昌街９５號,102.0,住,,,1071231,土地1建物1車位0,全,三層,透天厝,見其他登記事項,鋼筋混凝土造,1071121,188.23,4,1,3,有,無,8500000,45158,,0.0,0,,RPVNMLKLLHOFFBP66CA,175.69,0.0,12.54,,
斗南鎮,房地(土地+建物),雲林縣斗南鎮隆昌街１０１巷１弄１２號,141.22,住,,,1071231,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1071121,170.24,4,1,4,有,無,7500000,44055,,0.0,0,,RPWNMLKLLHOFFBP76CA,155.48,0.0,14.76,,
大埤鄉,房地(土地+建物),雲林縣大埤鄉豐隆街１７號,70.44,,特定農業區,甲種建築用地,1080126,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0710407,101.78,2,2,2,有,無,800000,7860,,0.0,0,,RPPNMLSJLHOFFBP66CA,101.78,0.0,0.0,,
莿桐鄉,土地,新庄子段1049地號,1529.5,,特定農業區,農牧用地,1080218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2500000,1635,,0.0,0,,RPUNMLRJLHOFFAP96CA,0.0,0.0,0.0,,
莿桐鄉,土地,新庄子段1049地號,1529.5,,特定農業區,農牧用地,1080218,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2546192,1665,,0.0,0,,SPUNMLRJLHOFFAP07CA,0.0,0.0,0.0,,
古坑鄉,土地,古坑段古坑小段98-2地號,1475.0,,山坡地保育區,農牧用地,1080131,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,814,,0.0,0,,RPQOMLPJLHOFFAP09CA,0.0,0.0,0.0,,
斗六市,房地(土地+建物),雲林縣斗六市楓溝街１１０巷１５號,77.52,,鄉村區,乙種建築用地,1080129,土地2建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0880330,161.65,4,2,3,有,無,5500000,34024,,0.0,0,含增建或未登記建物。；,RPSNMLQJLHOFFAP66CA,149.49,0.0,12.16,,
莿桐鄉,土地,樹子腳段604-431地號,695.0,住,,,1080214,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14282715,20551,,0.0,0,,RPQNMLRJLHOFFAP56CA,0.0,0.0,0.0,,
斗六市,土地,海豐崙段朱丹灣小段25-14地號,146.48,住,,,1080130,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5600000,38230,,0.0,0,,RPSNMLRJLHOFFAP76CA,0.0,0.0,0.0,,
莿桐鄉,土地,大埔尾段2630-2地號,400.0,,特定農業區,農牧用地,1080116,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2400000,6000,,0.0,0,含增建或未登記建物。；,RPTNMLRJLHOFFAP86CA,0.0,0.0,0.0,,
斗六市,房地(土地+建物),雲林縣斗六市成功二街９５號,148.02,住,,,1080120,土地1建物1車位0,一層，二層，三層，四層，屋頂突出物,四層,店面(店鋪),見其他登記事項,鋼筋混凝土造,1070125,303.52,4,3,6,有,無,26380000,86914,,0.0,0,,RPPNMLSJLHOFFAP56CA,278.13,0.0,25.39,,
斗六市,土地,海豐崙段朱丹灣小段216地號,134.42,住,,,1071031,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,8945651,66550,,0.0,0,,RPWNMLMKLHOFFAP76CA,0.0,0.0,0.0,,
斗六市,房地(土地+建物),雲林縣斗六市洛陽路２８之７號,112.81,住,,,1080116,土地2建物1車位0,全,四層,透天厝,見其他登記事項,鋼筋混凝土造,1060607,245.77,4,2,5,有,有,12680000,51593,,0.0,0,,RPRNMLSLLHOFFAP96CA,233.51,0.0,12.26,,
斗南鎮,土地,溫厝角段472地號,2007.0,,特定農業區,農牧用地,1070130,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3000000,1495,,0.0,0,,RPWNMLLKLHOFFBP76CA,0.0,0.0,0.0,,
崙背鄉,土地,有勸段553地號,938.4,,特定農業區,農牧用地,1080223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,853,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPXNMLNKLHOFFCP17CA,0.0,0.0,0.0,,
