鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
恆春鎮,土地,宣化段652-1地號,103.46,,一般農業區,農牧用地,1080226,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1200000,11599,,0.0,0,,RPQNMLQLLHOFFET47CA,0.0,0.0,0.0,,
恆春鎮,房地(土地+建物),屏東縣恆春鎮恒南路33號,177.84,住,,,1071230,土地1建物1車位0,一層，二層，三層，騎樓,三層,店面(店鋪),住商用,鋼筋混凝土造,0680221,336.79,3,3,4,有,無,23000000,68292,,0.0,0,含增建或未登記建物。；,RPQNMLLJMHOFFET86CA,334.36,2.43,0.0,,
車城鄉,房地(土地+建物),屏東縣車城鄉海口路４８巷２１號,115.69,,鄉村區,乙種建築用地,1080107,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1070425,163.99,4,2,4,有,無,7300000,44515,,0.0,0,,RPRNMLLJMHOFFET96CA,149.07,0.0,14.92,,
枋寮鄉,土地,新龍段473-23地號,7.28,住,,,1071220,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,170000,23352,,0.0,0,,RPRNMLSLLHOFFFT87CA,0.0,0.0,0.0,,
瑪家鄉,土地,涼山段1522地號,1850.0,,山坡地保育區,林業用地,1080211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,200000,108,,0.0,0,,RPPNMLTJMHOFFCT37CA,0.0,0.0,0.0,,
內埔鄉,土地,大和段274地號,137.43,,一般農業區,甲種建築用地,1080305,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,400000,2911,,0.0,0,親友、員工或其他特殊關係間之交易。；,RPPNMLKKMHOFFCT56CA,0.0,0.0,0.0,,
內埔鄉,土地,文化段237地號,1567.14,,一般農業區,農牧用地,1080315,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,800000,510,,0.0,0,農地  部份被占用,RPWNMLTLLHOFFCT18CA,0.0,0.0,0.0,,
內埔鄉,房地(土地+建物),屏東縣內埔鄉建華路５號,98.57,,工業區,丁種建築用地,1080219,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1070626,174.17,4,2,4,有,無,7350000,42200,,0.0,0,,RPXNMLTLLHOFFCT28CA,153.89,0.0,20.28,,
內埔鄉,房地(土地+建物),屏東縣內埔鄉建三路４８號,96.0,,工業區,丁種建築用地,1080222,土地1建物1車位0,全,三層,透天厝,見其他登記事項,見其他登記事項,1070525,170.68,3,2,2,有,無,8150000,47750,,0.0,0,,RPPNMLKMLHOFFCT66CA,158.5,0.0,12.18,,
潮州鎮,房地(土地+建物),屏東縣潮州鎮西市路２２號,64.9,商,,,1080211,土地1建物1車位0,一層，二層，三層，四層，騎樓，見其他登記事項,四層,店面(店鋪),見其他登記事項,見其他登記事項,1050826,233.16,4,2,5,有,無,15000000,64334,,0.0,0,,RPWNMLQKMHOFFCT87CA,220.89,0.0,12.27,,
