編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLOLMHOFFAX67CA,31,230.54,住商用,鋼筋混凝土造,76年4月16日,四層,一層 二層 三層 四層 地下層
RPROMLRJNHOFFAX77CA,23,44.53,住家用,鋼筋混凝土造,85年3月8日,十層,五層 見其他登記事項
RPROMLRJNHOFFAX77CA,23,9.52,停車場、梯間、機械房、蓄水池、電樓梯間、走道（１～１０樓）,鋼筋混凝土造,85年3月8日,十層,
RPPNMLNLMHOFFAX27DA,37,85.52,住家用,鋼筋混凝土造,71年5月7日,四層,一層 二層
RPPNMLNLMHOFFAX27DA,37,19.54,走廊,鋼筋混凝土造,71年5月7日,四層,
RPTNMLRKMHOFFAX87CA,2,239.03,住家用,鋼筋混凝土造,106年8月2日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPRNMLSKMHOFFAX77CA,46,221.66,住工用,鋼筋混凝土加強空心磚造,62年8月1日,二層,一層 二層 水塔
RPSNMLRKMHOFFAX77CA,54,80.46,住商用,鋼筋混凝土加強空心磚造,54年1月1日,二層,一層 二層
RPPNMLSKMHOFFAX57CA,23,96.96,住家用,鋼筋混凝土造,84年12月8日,七層,四層 陽台
RPPNMLSKMHOFFAX57CA,23,23.63,停車庫兼避難室,鋼筋混凝土造,84年12月8日,七層,
RPPNMLPLMHOFFAX37CA,39,86.60,住家用,鋼筋混凝土加強磚造,68年11月24日,二層,一層 二層 電梯樓梯間
RPPNMLTJNHOFFAX67CA,3,361.81,住家用,鋼筋混凝土造,105年4月13日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPQNMLMLMHOFFAX17CA,18,165.80,住家用,鋼筋混凝土造,90年3月9日,三層,一層 二層 三層 見其他登記事項
RPQNMLOLMHOFFAX37CA,38,87.60,住家用,鋼筋混凝土加強磚造,70年8月10日,二層,一層 二層 電梯樓梯間
RPPNMLMLMHOFFAX07CA,27,118.46,住家用,鋼筋混凝土造,81年8月27日,七層,四層
RPPNMLMLMHOFFAX07CA,27,33.38,避難室,鋼筋混凝土造,81年8月27日,七層,
RPPNMLMLMHOFFAX07CA,27,3.29,,鋼筋混凝土造,81年8月27日,七層,
RPPNMLMLMHOFFAX07CA,27,14.06,電梯,鋼筋混凝土造,81年8月27日,七層,
RPPNMLMLMHOFFAX07CA,27,1.12,汽車坡道,鋼筋混凝土造,81年8月27日,七層,
RPPNMLLLMHOFFAX96CA,,69.42,住家用,見其他登記事項,,一層,一層
RPQNMLPLMHOFFAX47CA,6,180.48,住宅（自用農舍）,加強磚造,101年10月24日,二層,一層 二層 見其他登記事項
RPQNMLPJNHOFFAX37CA,1,284.83,住家用,鋼筋混凝土造,107年7月3日,四層,一層 二層 三層 四層 見其他登記事項
RPPNMLOLMHOFFAX37DA,28,80.80,住家用,鋼筋混凝土加強磚造,79年12月1日,二層,一層 二層
RPPNMLTLMHOFFAX77CA,52,89.44,住家用,鐵筋加強造,56年6月20日,一層,一層
RPQNMLTLMHOFFAX87CA,3,324.94,住家用,鋼筋混凝土造,104年11月30日,三層,一層 二層 三層 見其他登記事項 見其他登記事項
RPQNMLLJNHOFFAX96CA,1,101.35,集合住宅,鋼筋混凝土造,107年6月1日,五層,四層 見其他登記事項
RPQNMLLJNHOFFAX96CA,1,45.93,停車空間、管委會使用空間、梯廳兼樓梯間、樓梯間、機械室、水箱,鋼筋混凝土造,107年6月1日,五層,
RPRNMLMJNHOFFAX17CA,49,72.84,住家用,見其他登記事項,59年9月1日,二層,一層 二層
RPUNMLNKNHOFFAX67CA,35,99.65,住家用,鋼筋混凝土加強磚造,73年6月21日,二層,一層 二層 電梯樓梯間 夾層
RPPNMLLMNHOFFAX17CA,2,101.04,集合住宅,鋼筋混凝土造,106年3月28日,十層,十層 見其他登記事項
RPPNMLLMNHOFFAX17CA,2,63.63,共同使用,鋼筋混凝土造,106年3月28日,十層,
RPSNMLNJNHOFFAX47DA,38,81.78,住家用,鋼筋混凝土加強磚造,70年1月15日,二層,一層 二層 電梯樓梯間
RPPOMLPKNHOFFAX47CA,105,128.36,住家用,造,3年1月1日,一層,一層
RPSOMLTJNHOFFAX08CA,43,45.00,住家用,鋼筋混凝土加強磚造,65年3月22日,二層,一層 二層
RPTNMLRJNHOFFAX87CA,54,97.17,住家用,見其他登記事項,54年4月30日,一層,一層
RPUNMLLLNHOFFAX67DA,,48.90,住家用,造,,,
RPVNMLKKNHOFFAX47CA,23,194.13,住家用,鋼筋混凝土造,85年3月14日,四層,一層 二層 三層 四層 電梯樓梯間 見其他登記事項
RPROMLNKNHOFFAX47CA,9,233.87,住家用,鋼筋混凝土造,99年4月2日,三層,一層 二層 三層 見其他登記事項
RPUNMLKKNHOFFAX37CA,4,296.28,住家用,鋼筋混凝土造,104年10月5日,三層,一層 二層 三層 見其他登記事項
RPPNMLMLNHOFFAX17CA,25,169.38,住家用,鋼筋混凝土造,83年6月6日,六層,二層 見其他登記事項
RPPNMLMLNHOFFAX17CA,25,58.85,電梯、樓梯間,鋼筋混凝土造,83年6月6日,六層,
RPPNMLQKNHOFFAX47CA,,68.15,住家用,鋼筋混凝土造,,,
RPPNMLQKNHOFFAX47CA,,16.13,停車場、梯間、機械房、蓄水池、電樓梯間、走道（１～１０樓）,鋼筋混凝土造,,,
RPPOMLNKNHOFFAX27CA,,283.31,住家用,鋼筋混凝土造,,,
