鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
新店區,建物,新北市新店區二十張路４６－４號九樓,0.0,住,,,1080121,土地0建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0821224,154.77,3,2,2,有,有,有,28500,184,坡道平面,0.0,0,,RPOPMLNKKHOFFCF18CC
板橋區,建物,新北市板橋區漢生西路89巷5弄16之3號,0.0,住,,,1080128,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,,68.82,2,1,1,有,無,有,14000,203,,0.0,0,此為新北市社會住宅包租代管計劃之物件，評定市價租金為15556，因為新北市計劃租金上限為18000，選擇代租方案須打九折，實際租賃契約金額為14000。,RPUPMLNKKHOFFAF58CC
板橋區,建物,新北市板橋區四川路二段２４５巷１９弄３０號六樓,0.0,住,,,1080119,土地0建物1車位0,六層,11,套房(1房1廳1衛),住家用,鋼筋混凝土造,0871110,66.50999999999999,1,1,1,有,有,有,17000,256,,0.0,0,含增建或未登記建物。；租金含管理費,RPVPMLNKKHOFFAF68CC
板橋區,建物,新北市板橋區合安一路７７號十六樓之６,0.0,住,,,1080123,土地0建物1車位1,十六層,24,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1040209,180.51999999999998,3,2,2,有,有,有,26000,144,坡道平面,31.97,0,租金含管理費,RPWPMLNKKHOFFAF78CC
淡水區,房地(土地+建物),新北市淡水區學府路181巷2號二樓,26.6,住,,,1080211,土地1建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691119,84.0,5,0,5,有,無,有,5000,60,,0.0,0,,RPUOMLNKKHOFFEF88CC
淡水區,房地(土地+建物)+車位,新北市淡水區新市五路二段11號十九樓,21.93,住,,,1080211,土地1建物1車位1,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1021203,147.28,3,2,2,有,無,有,17000,115,坡道平面,28.26,0,,RPVPMLNKKHOFFEF09CC
中和區,建物,新北市中和區景平路１５０號３樓之１,0.0,住,,,1071207,土地0建物1車位0,三層,15,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,1020813,48.83,2,1,1,有,有,有,18000,369,,0.0,0,,RPXNMLNKKHOFFHF76CC
永和區,建物,新北市永和區中正路623號4樓之3,0.0,商,,,1080118,土地0建物1車位0,四層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850113,32.89,1,0,1,有,有,有,12500,380,,0.0,0,,RPOOMLNKKHOFFHF58CC
中和區,建物,新北市中和區景平路159巷1號4樓,0.0,住,,,1080131,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840715,80.61,2,2,1,有,有,有,16200,201,,0.0,0,租賃範圍不含車位，且無法區分車位面積。；此為新北市社會住宅包租代管計劃之物件，評定市價租金為18000，因為新北市計劃租金上限為18000，選擇代租方案須打九折，實際租賃契約金額為16200。,RPTPMLNKKHOFFHF56CC
汐止區,建物,新北市汐止區民族六街５巷２號四樓,0.0,住,,,1080119,土地0建物1車位0,四層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,96.77,3,2,1,有,無,有,16000,165,,0.0,0,,RPTOMLNKKHOFFDF68CC
板橋區,建物,新北市板橋區華東街316號6F,7.32,住,,,1071227,土地0建物1車位0,六層,20,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980119,75.46000000000001,2,1,1,有,有,無,16200,215,,0.0,0,,RPQOMLOKKHOFFAF38EC
樹林區,建物,新北市樹林區鎮前街４５７號十三樓之１,0.0,住,,,1080122,土地0建物1車位0,十三層,14,套房(1房1廳1衛),住家用,鋼筋混凝土造,0840812,54.169999999999995,1,1,1,有,有,有,10500,194,,0.0,0,租金含管理費,RPVOMLOKKHOFFIF86CC
中和區,建物,新北市中和區中正路786之1號,0.0,工,,,1080121,土地0建物1車位0,十三層,13,辦公商業大樓,工業用,鋼筋混凝土造,0860221,323.97,0,0,0,無,有,無,70000,216,,0.0,0,,RPWNMLOKKHOFFHF76CC
中和區,建物,新北市中和區中正路866之2號,0.0,其他,,,1080125,土地0建物1車位0,十七層,17,辦公商業大樓,見其他登記事項,見其他登記事項,0890930,233.82999999999998,0,0,0,無,有,無,56584,242,,0.0,0,,RPXNMLOKKHOFFHF86CC
中和區,建物,新北市中和區連城路359號10樓,0.0,其他,,,1080116,土地0建物1車位0,十層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880419,84.5,2,1,1,有,有,無,22000,260,,0.0,0,,RPSPMLOKKHOFFHF56CC
瑞芳區,建物,新北市瑞芳區汽車路93之6號,0.0,,鄉村區,乙種建築用地,1080122,土地0建物4車位0,一層,3,店面(店鋪),見其他登記事項,鋼筋混凝土造,0950905,113.54,0,0,0,無,無,無,50000,440,,0.0,0,,RPSNMLOKKHOFFFF88DC
淡水區,建物,新北市淡水區民族路81號2樓,0.0,住,,,1080129,土地0建物1車位0,二層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850802,124.06,3,1,2,有,有,無,14000,113,,0.0,0,,RPUNMLOKKHOFFEF88CC
新店區,建物,新北市新店區永安街92巷5號,0.0,住,,,1080117,土地0建物1車位0,一層,6,店面(店鋪),商業用,鋼筋混凝土造,0861107,47.06,0,0,0,無,無,無,16500,351,,0.0,0,,RPWNMLOKKHOFFCF88CC
