編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPPNMLRLKHOFFAO09CA,7,33.90,共有部分,鋼筋混凝土造,100年7月18日,十四層,
RPPNMLRLKHOFFAO09CA,7,.00,共有部分,鋼筋混凝土造,100年7月18日,十四層,
RPPNMLRLKHOFFAO09CA,7,108.33,策略性產業辦公室,鋼筋混凝土造,100年7月18日,十四層,五層 陽台 雨遮
RPPNMLRLKHOFFAO09CA,7,23.89,共有部分,鋼筋混凝土造,100年7月18日,十四層,
RPPNMLRLKHOFFAO09CA,7,20.18,共有部分,鋼筋混凝土造,100年7月18日,十四層,
RPRPMLLLKHOFFAO88CA,3,148.45,集合住宅,鋼筋混凝土造,105年1月25日,二十八層,十二層 陽台 雨遮
RPRPMLLLKHOFFAO88CA,3,28.10,共有部分,鋼筋混凝土造,105年1月25日,二十八層,
RPRPMLLLKHOFFAO88CA,3,41.76,共有部分,鋼筋混凝土造,105年1月25日,二十八層,
RPRPMLLLKHOFFAO88CA,3,.04,店舖診所類場所,鋼筋混凝土造,105年1月25日,二十八層,一層
RPRPMLLLKHOFFAO88CA,3,58.53,共有部分,鋼筋混凝土造,105年1月25日,二十八層,
RPTNMLMJLHOFFAO88CA,24,39.81,住家用,鋼筋混凝土造,83年11月14日,五層,二層 陽台
RPTNMLMJLHOFFAO88CA,24,10.36,共有部分,鋼筋混凝土造,83年11月14日,五層,
RPTNMLMJLHOFFAO88CA,24,23.06,共有部分,鋼筋混凝土造,83年11月14日,五層,
RPSPMLLLKHOFFAO98CA,10,87.60,集合住宅,鋼筋混凝土造,97年7月21日,十二層,二層 陽台
RPSPMLLLKHOFFAO98CA,10,14.57,樓梯間、機械室、水箱,鋼筋混凝土造,97年7月21日,十二層,
RPSPMLLLKHOFFAO98CA,10,16.52,防空避難室兼停車空間,鋼筋混凝土造,97年7月21日,十二層,
RPTOMLMLKHOFFAO09CA,21,86.59,住家用,鋼筋混凝土造,87年6月23日,二十一層,十六層 陽台 花台
RPTOMLMLKHOFFAO09CA,21,1.45,社區活動中心,鋼筋混凝土造,87年6月23日,二十一層,
RPTOMLMLKHOFFAO09CA,21,27.45,共有部分,鋼筋混凝土造,87年6月23日,二十二層,
RPTOMLMLKHOFFAO09CA,21,.29,社區活動中心,鋼筋混凝土造,87年6月23日,二十一層,
RPTOMLMLKHOFFAO09CA,21,39.38,停車空間,鋼筋混凝土造,87年6月23日,二十二層,
RPXOMLKLKHOFFAO66CA,,157.44,集合住宅、停車空間,鋼筋混凝土造,107年10月9日,四層,一層 二層 三層 四層 陽台 屋簷
RPSNMLLKLHOFFAO78CA,4,323.76,店舖、住宅、樓梯間,鋼筋混凝土造,103年8月19日,四層,一層 二層 三層 四層 陽台 屋簷 見其他登記事項
RPWOMLKLKHOFFAO56CA,37,92.98,住家用,鋼筋混凝土造,70年8月17日,五層,二層 陽台
RPWOMLKLKHOFFAO56CA,37,12.07,共有部分,鋼筋混凝土造,70年8月17日,五層,
RPPOMLTKKHOFFAO66CA,,101.52,住家用,加強磚造,,二層,一層 二層
RPPNMLMKKHOFFAO78CD,4,172.32,住宅、停車空間,鋼筋混凝土造,104年5月1日,四層,一層 二層 三層 四層 陽台
RPQPMLKLKHOFFAO68CA,,156.06,集合住宅、停車空間,鋼筋混凝土造,107年10月9日,四層,一層 二層 三層 四層 陽台 屋簷
RPOPMLKLKHOFFAO48CA,,156.06,集合住宅、停車空間,鋼筋混凝土造,107年10月9日,四層,一層 二層 三層 四層 陽台 屋簷
RPPPMLKLKHOFFAO58CA,,156.06,集合住宅、停車空間,鋼筋混凝土造,107年10月9日,四層,一層 二層 三層 四層 陽台 屋簷
RPPRMLNKLHOFFAO09CA,23,88.06,住家用,鋼筋混凝土造,84年11月23日,八層,七層 陽台
RPPRMLNKLHOFFAO09CA,24,15.95,共有部分,鋼筋混凝土造,83年11月23日,八層,
RPPRMLNKLHOFFAO09CA,24,7.35,共有部分,鋼筋混凝土造,83年11月23日,八層,
RPPRMLNKLHOFFAO09CA,24,90.03,住家用,鋼筋混凝土造,83年11月23日,八層,七層 陽台
RPPRMLNKLHOFFAO09CA,24,16.31,共有部分,鋼筋混凝土造,83年11月23日,八層,
RPPRMLNKLHOFFAO09CA,24,7.51,共有部分,鋼筋混凝土造,83年11月23日,八層,
RPXNMLKLKHOFFAO56CA,,151.70,集合住宅、停車空間,鋼筋混凝土造,107年10月11日,四層,一層 二層 三層 四層 陽台 屋簷
RPOOMLKLKHOFFAO38CA,,152.36,集合住宅、停車空間,鋼筋混凝土造,107年10月11日,四層,一層 二層 三層 四層 陽台 屋簷
RPPOMLKLKHOFFAO48CA,,152.36,集合住宅、停車空間,鋼筋混凝土造,107年10月11日,四層,一層 二層 三層 四層 陽台 屋簷
RPROMLKLKHOFFAO68CA,,152.36,集合住宅、停車空間,鋼筋混凝土造,107年10月11日,四層,一層 二層 三層 四層 陽台 屋簷
RPROMLNLKHOFFAO09DA,21,100.34,住家用,鋼筋混凝土造,86年5月15日,五層,三層 陽台
RPROMLNLKHOFFAO09DA,21,14.74,共有部分,鋼筋混凝土造,86年5月15日,五層,
RPTOMLSKLHOFFAO17DA,42,141.94,住家用,加強磚造,65年7月15日,四層,一層 二層 三層 四層
RPXPMLMLKHOFFAO96CA,28,102.07,住家用,鋼筋混凝土造,79年10月6日,五層,五層
RPXPMLMLKHOFFAO96CA,28,23.50,共有部分,鋼筋混凝土造,79年10月6日,000,
RPPNMLKLKHOFFAO38CA,24,95.05,住家用,鋼筋混凝土造,83年11月28日,七層,三層 陽台
RPPNMLKLKHOFFAO38CA,24,40.02,共有部分,鋼筋混凝土造,83年11月28日,七層,
RPPNMLKLKHOFFAO38CA,24,10.86,共有部分,鋼筋混凝土造,83年11月28日,七層,
RPUNMLKLKHOFFAO88CA,,151.70,集合住宅,鋼筋混凝土造,107年10月11日,四層,一層 二層 三層 四層 陽台 屋簷
RPWNMLKLKHOFFAO09CA,,151.70,集合住宅、停車空間,鋼筋混凝土造,107年10月11日,四層,一層 二層 三層 四層 陽台 屋簷
RPVQMLMLKHOFFAO86CA,,653.67,商業用,,,四層,一層 二層 三層 四層 騎樓
RPSNMLKLKHOFFAO68CA,,151.70,集合住宅,鋼筋混凝土造,107年10月11日,四層,一層 二層 三層 四層 陽台 屋簷
RPTNMLKLKHOFFAO78CA,,151.70,集合住宅,鋼筋混凝土造,107年10月11日,四層,一層 二層 三層 四層 陽台 屋簷
RPVNMLKLKHOFFAO98CA,,151.70,集合住宅、停車空間,鋼筋混凝土造,107年10月11日,四層,一層 二層 三層 四層 陽台 屋簷
RPUOMLTKKHOFFAO17CA,2,69.10,集合住宅,鋼筋混凝土造,105年9月30日,十四層,十一層 陽台 雨遮
RPUOMLTKKHOFFAO17CA,2,13.18,共有部分,鋼筋混凝土造,105年9月30日,十四層,
RPUOMLTKKHOFFAO17CA,2,47.44,共有部分,鋼筋混凝土造,105年9月30日,十四層,
RPOQMLPLKHOFFAO09CA,26,165.61,住家用,鋼筋混凝土造,81年11月16日,三層,一層 二層 三層 陽台 露台 地下層
RPPPMLPLKHOFFAO09CA,20,281.81,住宅、停車空間,鋼筋混凝土造,88年3月26日,四層,一層 二層 三層 四層 陽台 屋頂突出物 雨遮
RPUNMLTJLHOFFAO07CA,37,86.03,住家用,鋼筋混凝土造,70年7月10日,五層,四層
RPVNMLTJLHOFFAO17CA,11,61.00,集合住宅,鋼筋混凝土造,96年11月26日,十二層,二層 陽台 雨遮
RPVNMLTJLHOFFAO17CA,11,10.95,梯間及管委會使用空間,鋼筋混凝土造,96年11月26日,十二層,
RPVNMLTJLHOFFAO17CA,11,12.92,梯間、機械室、水箱,鋼筋混凝土造,96年11月26日,十二層,
RPUNMLPLKHOFFAO76CA,22,77.33,住家用,鋼筋混凝土造,85年6月22日,十二層,五層 陽台 花台
RPUNMLPLKHOFFAO76CA,22,21.36,共有部分,鋼筋混凝土造,85年6月22日,十二層,
RPTNMLPLKHOFFAO66CA,16,284.77,住宅、停車空間、機械房,鋼筋混凝土造,91年6月10日,三層,一層 二層 三層 陽台 屋頂突出物 雨遮 地下層
RPTNMLPLKHOFFAO66CA,16,41.39,停車空間、電機室、受電室,鋼筋混凝土造,91年6月10日,四層,
RPTOMLKLKHOFFAO88CA,,157.44,集合住宅、停車空間,鋼筋混凝土造,107年10月9日,四層,一層 二層 三層 四層 陽台 屋簷
RPSOMLKLKHOFFAO78CA,,152.36,集合住宅、停車空間,鋼筋混凝土造,107年10月11日,四層,一層 二層 三層 四層 陽台 屋簷
RPVPMLPJLHOFFAO96CA,25,137.73,住家用,鋼筋混凝土造,83年1月28日,五層,一層 平台 地下層
RPVPMLPJLHOFFAO96CA,25,18.35,共有部分,鋼筋混凝土造,83年1月28日,五層,
RPPOMLMJLHOFFAO58CA,4,105.85,集合住宅,鋼筋混凝土造,103年12月8日,二十八層,九層 陽台 雨遮
RPPOMLMJLHOFFAO58CA,4,27.01,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPPOMLMJLHOFFAO58CA,4,23.58,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPPOMLMJLHOFFAO58CA,4,.01,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPPOMLMJLHOFFAO58CA,4,29.75,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPPOMLMJLHOFFAO58CA,4,.02,辦公室,鋼筋混凝土造,103年12月8日,二十八層,一層
RPPOMLMJLHOFFAO58CA,4,.11,共有部分,鋼筋混凝土造,103年12月8日,二十八層,
RPVNMLMJLHOFFAO09CA,35,99.32,住家用,加強磚造,73年4月5日,二層,一層 二層
RPPNMLOKLHOFFAO78CA,19,154.67,住家用,鋼筋混凝土造,88年8月12日,九層,九層 陽台
RPPNMLOKLHOFFAO78CA,19,18.14,共有部分,鋼筋混凝土造,88年8月12日,九層,
RPPNMLOKLHOFFAO78CA,19,22.09,共有部分,鋼筋混凝土造,88年8月12日,九層,
RPPNMLOKLHOFFAO78CA,19,.25,住宅、守衛室,鋼筋混凝土造,88年8月12日,九層,一層 騎樓
RPPNMLOKLHOFFAO78CA,19,.00,共有部分,鋼筋混凝土造,88年8月12日,九層,
RPPNMLOKLHOFFAO78CA,19,56.02,共有部分,鋼筋混凝土造,88年8月12日,九層,
RPPOMLSJLHOFFAO56CA,23,28.22,見使用執照,鋼筋混凝土造,84年9月25日,十三層,十一層 陽台
RPPOMLSJLHOFFAO56CA,23,7.87,共有部分,鋼筋混凝土造,84年9月25日,十三層,
RPPOMLSJLHOFFAO56CA,23,2.62,共有部分,鋼筋混凝土造,84年9月25日,十三層,
RPXOMLPJLHOFFAO07CA,14,57.18,集合住宅,鋼筋混凝土造,94年2月20日,四層,地下四層
RPXOMLPJLHOFFAO07CA,14,46.00,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPXOMLPJLHOFFAO07CA,14,19.68,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPXOMLPJLHOFFAO07CA,14,2.91,集合住宅,鋼筋混凝土造,94年2月20日,四層,地下一層
RPXOMLPJLHOFFAO07CA,14,.90,共有部分,鋼筋混凝土造,94年2月20日,四層,
RPSNMLMJLHOFFAO78CA,12,58.13,集合住宅,鋼筋混凝土造,96年5月20日,十層,三層 陽台
RPSNMLMJLHOFFAO78CA,12,22.91,停車空間、店舖、樓梯間,鋼筋混凝土造,96年5月20日,十層,
RPSOMLOJLHOFFAO09CA,37,108.00,住家用,加強磚造,70年12月30日,二層,一層 二層
RPSPMLPJLHOFFAO66CA,12,204.77,集合住宅,鋼筋混凝土造,95年11月27日,十三層,十二層 陽台
RPSPMLPJLHOFFAO66CA,12,38.85,樓梯間等共同使用部份,鋼筋混凝土造,95年11月27日,十三層,
