編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPWNMLKLLHOFFAD08CA,27,368.16,商業用,鋼筋混凝土造,81年1月21日,九層,七層 陽台
RPWNMLKLLHOFFAD08CA,27,47.43,共有部分,鋼筋混凝土造,81年1月21日,九層,
RPWNMLKLLHOFFAD08CA,27,69.27,共有部分,鋼筋混凝土造,81年1月21日,九層,
RPTNMLRLLHOFFBD68DA,4,242.20,住宅，停車空間,鋼筋混凝土造,103年8月7日,四層,一層 二層 三層 四層 陽台
RPPNMLTJMHOFFGD88DA,35,112.64,住家用,加強磚造,72年8月18日,二層,一層 二層 陽台 騎樓
RPSOMLMLLHOFFHD78DA,36,90.39,住家用,加強磚造,72年6月8日,二層,一層 二層 陽台 騎樓
RPPNMLMLLHOFFKD58CA,26,209.03,住商用,鋼筋混凝土造,81年11月17日,四層,一層 二層 三層 四層 陽台 平台 騎樓
RPUOMLSJMHOFFKD17DA,20,124.95,住商用,鋼筋混凝土造,88年5月19日,十四層,一層 二層 騎樓 雨遮 地下一層
RPUOMLSJMHOFFKD17DA,20,28.62,共有部分,鋼筋混凝土造,88年5月19日,十四層,
RPUOMLSJMHOFFKD17DA,20,.16,管理員室,鋼筋混凝土造,88年5月19日,十四層,地下四層
RPUOMLSJMHOFFKD17DA,20,10.02,共有部分,鋼筋混凝土造,88年5月19日,十四層,
RPTNMLKLLHOFFKD78CA,27,194.11,辦公室。,鋼筋混凝土造,81年5月19日,二十二層,十層 陽台
RPTNMLKLLHOFFKD78CA,27,13.23,共有部分,鋼筋混凝土造,81年5月19日,二十二層,
RPTNMLKLLHOFFKD78CA,27,1.47,共有部分,鋼筋混凝土造,81年5月19日,二十二層,
RPTNMLKLLHOFFKD78CA,27,5.93,共有部分,鋼筋混凝土造,81年5月19日,二十二層,
RPTNMLKLLHOFFKD78CA,27,40.48,共有部分,鋼筋混凝土造,81年5月19日,二十二層,
RPTNMLKLLHOFFKD78CA,27,12.15,共有部分,鋼筋混凝土造,81年5月19日,二十二層,
RPTNMLQLLHOFFKD76CA,12,173.91,門廊，住宅,鋼筋混凝土造,96年5月8日,四層,一層 二層 三層 四層 陽台 見其他登記事項
RPSNMLTKLHOFFKD86CA,38,108.56,住家用,加強磚造,70年5月18日,二層,一層 二層 陽台 騎樓
RPXPMLMLLHOFFKD96CA,24,5.71,共有部分,鋼筋混凝土造,84年5月11日,十四層,
RPXPMLMLLHOFFKD96CA,24,28.07,住家用,鋼筋混凝土造,84年5月11日,十四層,五層 陽台
RPXPMLMLLHOFFKD96CA,24,6.32,共有部分,鋼筋混凝土造,84年5月11日,十四層,
RPWNMLPLLHOFFKD96CA,24,80.26,住家用,鋼筋混凝土造,83年10月6日,十二層,十一層 陽台
