編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPTNMLOKKHOFFGN07DA,,165.37,住家用,鋼筋混凝土造,107年10月26日,三層,一層 二層 三層 陽台 屋頂突出物
RPVNMLOKKHOFFGN27DA,,156.40,住家用,鋼筋混凝土造,107年10月26日,三層,一層 二層 三層 陽台 屋頂突出物
RPSNMLNKLHOFFHN96CA,,147.86,住家用,鋼筋混凝土造,107年7月3日,三層,一層 二層 三層 陽台 屋頂突出物
RPRNMLNKLHOFFHN86CA,,143.18,住宅、停車空間,鋼筋混凝土造,107年7月3日,三層,一層 二層 三層 陽台 屋頂突出物
RPTNMLPKKHOFFGN17DA,36,83.86,住家用,加強磚造,71年12月10日,二層,一層 二層
RPPNMLLLKHOFFHN09CA,24,162.34,住家用,鋼筋混凝土造,83年12月13日,三層,一層 二層 三層 電梯樓梯間
RPPNMLQKKHOFFGN76CA,1,179.40,住家用,鋼筋混凝土造,106年12月18日,四層,一層 二層 三層 四層 陽台
RPQOMLRLKHOFFBN66CA,5,223.99,住家用,鋼筋混凝土造,103年6月13日,四層,一層 二層 三層 四層 陽台
RPQNMLLLKHOFFCN68CA,20,101.06,住家用,鋼筋混凝土造,88年1月14日,八層,四層 陽台
RPQNMLLLKHOFFCN68CA,20,58.02,避難室兼停車空間，雨遮，梯間，機械室，水箱,鋼筋混凝土造,88年1月14日,八層,
RPUOMLMLKHOFFAN09CA,47,87.64,住家用,鋼筋混凝土加強磚造,61年6月1日,二層,一層 二層
RPSNMLLLKHOFFAN68CA,,66.43,集合住宅,鋼筋混凝土造,107年8月21日,十二層,二層 陽台
RPSNMLLLKHOFFAN68CA,,45.25,防空避難室兼停車空間、台電配電室、發電機房、安全梯、消防機械室、電信機房、水箱、電梯間、梯廳、管委會使用空間（門廳）、公共服務空間、排煙室、垃圾集中處、戶外安全梯、水錶室、梯間、水錶間、機房、電梯機房,鋼筋混凝土造,107年8月21日,十二層,
RPTNMLKLKHOFFAN68CA,33,161.99,住家、避難室,鋼筋混凝土造,75年4月16日,三層,一層 二層 三層 地下層
RPTNMLNKLHOFFAN98CA,44,77.70,住家用,加強磚造,64年2月27日,二層,一層 二層
RPSNMLKLKHOFFAN58CA,27,171.06,住家用,加強磚造,80年12月12日,二層,一層 二層 屋頂突出物
RPSNMLKLKHOFFAN58CA,27,171.06,住家用,加強磚造,80年12月12日,二層,一層 二層 屋頂突出物
RPRNMLLLKHOFFAN58CA,42,111.00,住商用,鋼筋混凝土加強磚造,66年4月1日,三層,一層 二層 三層 騎樓
RPPNMLSKKHOFFAN98CA,40,77.32,住家用,鋼筋混凝土造,68年3月26日,四層,四層
RPRNMLOJLHOFFAN78CA,40,86.64,住商用,加強磚造,68年1月12日,二層,一層 二層
RPPPMLMLKHOFFAN68CA,21,137.80,住家用,鋼筋混凝土造,86年9月26日,二層,一層 二層 屋頂突出物
RPROMLMKLHOFFAN78CA,,247.35,店舖、住宅、樓梯間、停車空間,鋼筋混凝土造,107年8月10日,四層,一層 二層 三層 四層 陽台 屋頂突出物 騎樓
RPROMLMKLHOFFAN78CA,,.29,電信室,鋼筋混凝土造,107年8月10日,一層,
RPTNMLPKKHOFFCN66CA,22,152.31,人行道、住宅,鋼筋混凝土造,85年10月2日,三層,一層 二層 三層 騎樓
RPRNMLMLKHOFFDN98CA,1,61.38,集合住宅,鋼筋混凝土造,107年5月4日,十一層,二層 陽台 雨遮
RPRNMLMLKHOFFDN98CA,1,58.57,本共有部分係依使用執照之建築概要表記載項目有：停車空間、消防機械室、水箱、樓梯間、電梯間、台電配電室、停車空間兼防空避難室、發電機房、電信機室、門廳、梯廳、排煙室、沿街步道式開放空間、公共服務空間、垃圾集中室、水錶室、設備空間、電梯機房等１８項。,鋼筋混凝土造,107年5月4日,十一層,
RPVQMLLKLHOFFAN66CA,23,.30,辦公室,鋼筋混凝土造,84年7月18日,十九層,
RPVQMLLKLHOFFAN66CA,23,21.26,梯間、避難室、停車空間、車道,鋼筋混凝土造,84年7月18日,十九層,
RPVQMLLKLHOFFAN66CA,23,98.95,住家用,鋼筋混凝土造,84年7月18日,十九層,十八層 陽台 花台
