鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
大同區,建物,臺北市大同區南京西路１８巷４弄８號,0.0,商,,,1080129,土地0建物1車位0,一層,4,店面(店鋪),,加強磚造,,66.74,0,1,1,有,無,有,60000,899,,0.0,0,,RPPNMLTKKHOFFBA08CC
大同區,建物,臺北市大同區民生西路112號三樓,0.0,商,,,1080131,土地0建物1車位0,三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020826,89.13,2,1,1,有,有,有,55000,617,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPTNMLTKKHOFFBA48CC
大同區,建物,臺北市大同區南京西路61號,0.0,商,,,1080215,土地0建物1車位0,一層,12,店面(店鋪),商業用,鋼筋混凝土造,0720627,176.98,0,0,0,無,無,無,380000,2147,,0.0,0,僅承租一半的面積,RPUNMLTKKHOFFBA58CC
大同區,建物,臺北市大同區南京西路80號十一樓之2,0.0,商,,,1080130,土地0建物1車位0,十一層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970205,126.53999999999999,3,1,2,有,無,有,65000,514,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPVNMLTKKHOFFBA68CC
中正區,建物,臺北市中正區信義路二段153號8樓之1,0.0,商,,,1080131,土地0建物1車位0,八層,14,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0990818,188.17,3,2,2,有,有,有,120000,638,,0.0,0,,RPQOMLTKKHOFFBA28CC
中山區,建物,臺北市中山區吉林路428號1樓,74.87,住,,,1080130,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0580410,74.87,0,0,0,無,無,無,19000,254,,0.0,0,免租裝潢期:108/02/11-108/03/10，共計28天。,RPPPMLTKKHOFFCA38CC
中山區,建物,臺北市中山區林森北路310巷14號及16號1樓,41.13,商,,,1080125,土地0建物1車位0,一層,16,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0880928,76.46000000000001,0,0,0,無,無,有,51800,677,,0.0,0,免租裝潢期:108/02/11~108/02/28，共計17天。,RPVPMLTKKHOFFCA98CC
中山區,建物,臺北市中山區南京東路三段121號1樓,74.93,商,,,1080123,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),,加強磚造,,74.93,0,0,0,無,無,無,100000,1335,,0.0,0,免租裝潢期:108/01/27~108/02/15，共計19天。,RPROMLKLKHOFFCA67CC
內湖區,建物,臺北市內湖區陽光街68巷70號2樓,0.0,住,,,1080128,土地0建物1車位0,五層,2,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0751111,103.91999999999999,3,2,2,有,無,有,27000,260,,0.0,0,,RPOQMLKLKHOFFCA57CC
內湖區,建物,臺北市內湖區民權東路六段123巷20弄25號3樓之7,0.0,商,,,1080130,土地0建物1車位0,三層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0941025,50.03999999999999,2,2,1,有,有,有,24000,480,,0.0,0,,RPVQMLKLKHOFFCA28CC
中山區,建物,臺北市中山區北安路789巷三樓之2,0.0,住,,,1080131,土地0建物1車位0,三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1020904,86.55,2,2,1,有,有,有,35000,404,,0.0,0,,RPPRMLKLKHOFFCA77CC
中山區,建物,臺北市中山區中山北路三段36巷10號12樓,0.0,商,,,1080202,土地0建物1車位0,十二層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0780721,148.32,3,2,2,有,無,有,38000,256,,0.0,0,,RPQRMLKLKHOFFCA87CC
內湖區,建物,臺北市內湖區文湖街６９號四樓,0.0,住,,,1080201,土地0建物1車位0,四層,8,套房(1房1廳1衛),住家用,鋼筋混凝土造,0870720,65.36,1,1,1,有,有,有,23000,352,,0.0,0,租金含管理費,RPSRMLKLKHOFFCA08CC
大同區,建物,臺北市大同區承德路三段58號6樓之6,0.0,商,,,1080115,土地0建物1車位0,六層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720623,98.23,1,1,1,有,有,無,28000,285,,0.0,0,,RPTNMLKLKHOFFBA67CC
大同區,建物,臺北市大同區萬全街1號12樓之6,0.0,商,,,1080115,土地0建物1車位0,十二層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041016,148.24,2,2,2,有,有,有,65000,438,,0.0,0,續租。；含管理費、稅金或水電等費用。；,RPXNMLKLKHOFFBA08CC
