鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
南區,房地(土地+建物),臺南市南區大成路二段２２號,90.0,住,,,1080327,土地1建物1車位0,全,二層,透天厝,住商用,鋼筋混凝土構造,0770120,150.33,4,1,3,有,無,9600000,63860,,0.0,0,,RPTOMLQJNHOFFCD68CA,133.9,16.43,0.0,,
東區,房地(土地+建物),臺南市東區崇道路１０２號２樓之１,12.62,住,,,1080316,土地1建物1車位0,二層,八層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0811019,86.53999999999999,3,2,2,有,有,3380000,39057,,0.0,0,含增建或未登記建物。,RPRNMLMJNHOFFCD97CA,56.0,4.09,12.21,,
東區,房地(土地+建物)+車位,臺南市東區東門路三段266巷33號九樓,32.48,住,,,1080223,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,1070319,157.26,3,2,2,有,有,8450000,53733,坡道平面,0.0,1300000,,RPQNMLLKNHOFFCD87CA,81.54,0.0,8.43,,
東區,建物,臺南市東區崇德十五街56號7樓,0.0,,,,1080314,土地0建物3車位1,七層，騎樓,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0820506,171.15,3,3,2,有,有,4500000,26293,坡道平面,0.0,0,,RPXNMLTJNHOFFCD66CA,100.85,0.48,13.93,,
東區,房地(土地+建物)+車位,臺南市東區東門路三段３７巷７５弄５１之２號,16.38,住,,,1080311,土地1建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0820512,163.14999999999998,3,2,2,有,有,6800000,41679,坡道平面,0.0,0,,RPTPMLOKNHOFFCD68CA,97.49,0.0,15.33,,
麻豆區,土地,謝厝寮段752地號,1061.0,,特定農業區,農牧用地,1080327,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,900000,848,,0.0,0,,RPSOMLNLMHOFFFD68CA,0.0,0.0,0.0,,
麻豆區,土地,謝厝寮段752-8地號,971.0,,特定農業區,農牧用地,1080326,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,850000,875,,0.0,0,,RPTOMLNLMHOFFFD78CA,0.0,0.0,0.0,,
麻豆區,房地(土地+建物),臺南市麻豆區大埕里大埕８３之１１號二樓,37.01,住,,,1080312,土地1建物1車位0,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土構造,0830524,133.43,4,2,2,有,有,2500000,18736,,0.0,0,,RPPNMLOLMHOFFFD38CA,94.33,0.48,10.04,,
麻豆區,土地,謝厝寮段1136-5地號,562.25,,一般農業區,農牧用地,1080410,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1150000,2045,,0.0,0,,RPWNMLSKMHOFFFD76CA,0.0,0.0,0.0,,
麻豆區,房地(土地+建物),臺南市麻豆區海埔里大山?6716號,3547.79,農,,,1080409,土地3建物1車位0,一層,一層,其他,見其他登記事項,見其他登記事項,0900910,823.47,0,0,0,無,無,8158750,9908,,0.0,0,親友、員工或其他特殊關係間之交易。；本案交易標的，原係由出賣人與買受人共同出資買受取得，茲由買受人以原價買回出賣人之應有部分。,RPWNMLRKMHOFFFD66CA,823.47,0.0,0.0,,
