編號,屋齡,建物移轉面積平方公尺,主要用途,主要建材,建築完成日期,總層數,建物分層
The serial number,room age,building shifting area square meter,the main use,main building materials,construction completes the date,total layer,building lamination
RPRNMLMKLHOFFBK48CA,,88.06,本共有部分之項目有防空避難室、管委會空間、梯間、樓梯間、水箱、電梯機房及停車空間（室內６６輛）等７項。,鋼筋混凝土造,107年12月7日,十一層,
RPTNMLMKLHOFFBK68CA,,43.24,住家用,鋼筋混凝土造,107年12月7日,十一層,三層 陽台
RPTNMLMKLHOFFBK68CA,,58.85,本共有部分之項目有防空避難室、管委會空間、梯間、樓梯間、水箱、電梯機房及停車空間（室內６６輛）等７項。,鋼筋混凝土造,107年12月7日,十一層,
RPWNMLPKKHOFFDK76CA,37,91.50,住家用,加強磚造,70年12月7日,二層,一層 二層
RPPNMLNKLHOFFBK38CA,,107.71,住家用,鋼筋混凝土造,107年12月7日,十一層,四層 陽台
RPPNMLNKLHOFFBK38CA,,88.96,本共有部分之項目有防空避難室、管委會空間、梯間、樓梯間、水箱、電梯機房及停車空間（室內６６輛）等７項。,鋼筋混凝土造,107年12月7日,十一層,
RPQNMLNKLHOFFBK48CA,,106.88,住家用,鋼筋混凝土造,107年12月7日,十一層,四層 陽台
RPQNMLNKLHOFFBK48CA,,88.51,本共有部分之項目有防空避難室、管委會空間、梯間、樓梯間、水箱、電梯機房及停車空間（室內６６輛）等７項。,鋼筋混凝土造,107年12月7日,十一層,
RPQOMLRJLHOFFBK88CA,24,181.22,住宅，停車空間,鋼筋混凝土造,83年7月15日,四層,一層 二層 三層 四層 陽台 平台 屋頂突出物 露台 花台 雨遮
RPQNMLSKKHOFFDK09CA,,84.24,住家用,鋼筋混凝土加強磚造,,二層,一層 二層
RPUNMLSJLHOFFFK07CA,1,93.62,集合住宅,鋼筋混凝土造,106年7月31日,十五層,四層 陽台 雨遮
RPUNMLSJLHOFFFK07CA,1,44.48,防空避難室、停車空間,鋼筋混凝土造,106年7月31日,十五層,
RPUNMLSJLHOFFFK07CA,1,2.87,管理委員會空間,鋼筋混凝土造,106年7月31日,十五層,
RPUNMLSJLHOFFFK07CA,1,24.27,Ａ棟樓梯間,鋼筋混凝土造,106年7月31日,十五層,
RPROMLRJLHOFFBK98CA,27,29.45,住家用,鋼筋混凝土造,81年5月10日,,五層 陽台
RPROMLRJLHOFFBK98CA,27,.06,走道，梯間,鋼筋混凝土造,81年5月10日,,
RPROMLRJLHOFFBK98CA,27,4.12,走道，梯間，廁所，水箱，機械室，發電機,鋼筋混凝土造,81年5月10日,,
RPROMLRJLHOFFBK98CA,27,9.02,走道，梯間,鋼筋混凝土造,81年5月10日,,
RPVNMLSJLHOFFFK17CA,1,84.92,集合住宅,鋼筋混凝土造,106年7月31日,十五層,十四層 陽台 雨遮
RPVNMLSJLHOFFFK17CA,1,43.23,防空避難室、停車空間,鋼筋混凝土造,106年7月31日,十五層,
RPVNMLSJLHOFFFK17CA,1,2.61,管理委員會空間,鋼筋混凝土造,106年7月31日,十五層,
RPVNMLSJLHOFFFK17CA,1,21.14,Ｄ棟樓梯間,鋼筋混凝土造,106年7月31日,十五層,
RPVNMLTKKHOFFDK07CA,,192.77,住家用,鋼筋混凝土造,107年9月14日,四層,一層 二層 三層 四層 陽台
RPRNMLKLKHOFFDK48CA,,119.38,住家用,鋼筋混凝土造,,二層,一層 二層
RPXNMLKLKHOFFDK09CA,,45.70,共有部分,鋼筋混凝土造,107年11月20日,十層,
RPXNMLKLKHOFFDK09CA,,67.45,集合住宅,鋼筋混凝土造,107年11月20日,十層,四層 陽台 雨遮
RPXNMLKLKHOFFDK09CA,,31.38,共有部分,鋼筋混凝土造,107年11月20日,十層,
RPWNMLSJLHOFFFK27CA,1,93.47,集合住宅,鋼筋混凝土造,106年7月31日,十五層,十五層 陽台 雨遮
RPWNMLSJLHOFFFK27CA,1,44.41,防空避難室、停車空間,鋼筋混凝土造,106年7月31日,十五層,
RPWNMLSJLHOFFFK27CA,1,2.86,管理委員會空間,鋼筋混凝土造,106年7月31日,十五層,
RPWNMLSJLHOFFFK27CA,1,24.23,Ａ棟樓梯間,鋼筋混凝土造,106年7月31日,十五層,
RPUNMLMLKHOFFDK98CA,2,81.32,住家用,鋼筋混凝土造,105年10月12日,十二層,十一層 陽台
RPUNMLMLKHOFFDK98CA,2,37.08,共有部分,鋼筋混凝土造,105年10月12日,十二層,
RPUNMLMLKHOFFDK98CA,2,16.66,共有部分,鋼筋混凝土造,105年10月12日,十二層,
RPWNMLMLKHOFFDK56CA,2,216.97,住家用、停車空間,鋼筋混凝土造,105年12月28日,四層,一層 二層 三層 四層 陽台
RPWNMLMLKHOFFDK56CA,2,8.49,管理員室,鋼筋混凝土造,105年12月28日,四層,
RPOOMLRJLHOFFBK68CA,26,132.01,住家用,鋼筋混凝土造,82年2月16日,,一層 二層 陽台 平台 屋頂突出物
RPROMLPLKHOFFBK88CA,,105.46,住家用,鋼筋混凝土造,107年10月3日,五層,二層 陽台
RPROMLPLKHOFFBK88CA,,36.13,本共有部分之項目有停車空間（室內１１輛）及樓梯間等２項。,鋼筋混凝土造,107年10月3日,五層,
RPOOMLQLKHOFFDK88CA,3,98.37,住家用,鋼筋混凝土造,105年4月22日,十層,十層 陽台
RPOOMLQLKHOFFDK88CA,3,27.53,停車空間、水箱、梯間、機械室,鋼筋混凝土造,105年4月22日,十層,
RPOOMLQLKHOFFDK88CA,3,34.99,受電室、停車空間、避難空間、機械室,鋼筋混凝土造,105年4月22日,十層,
RPTOMLPLKHOFFBK09CA,,98.17,住家用,鋼筋混凝土造,107年10月3日,五層,二層 陽台
RPTOMLPLKHOFFBK09CA,,34.64,本共有部分之項目有停車空間（室內１１輛）及樓梯間等２項。,鋼筋混凝土造,107年10月3日,五層,
RPUNMLQLKHOFFDK76CA,1,231.51,住家用,鋼筋混凝土造,107年5月25日,三層,一層 二層 三層 陽台 見其他登記事項
RPPNMLQJLHOFFDK78CA,23,142.72,住家用,鋼筋混凝土造,84年8月26日,七層,一層 平台 騎樓
RPPNMLQJLHOFFDK78CA,23,26.53,防空避難室，停車場，守衛室，交誼廳，通道,鋼筋混凝土造,84年8月26日,七層,
RPPNMLQJLHOFFDK78CA,23,20.67,梯間,鋼筋混凝土造,84年8月26日,七層,
RPRNMLKLKHOFFFK68CA,25,70.02,住家用,鋼筋混凝土造,82年10月21日,十層,三層
RPRNMLKLKHOFFFK68CA,25,10.28,住家用,鋼筋混凝土造,82年10月21日,十層,
RPSNMLLLKHOFFFK88CA,25,82.45,住家用,鋼筋混凝土造,82年10月6日,六層,一層 平台
RPSNMLLLKHOFFFK88CA,25,41.95,共同使用,鋼筋混凝土造,82年10月6日,六層,
RPQNMLPLKHOFFFK09CA,34,99.85,住家用,鋼筋混凝土造,74年4月16日,五層,三層 陽台
RPOOMLTKKHOFFFK66CA,25,100.96,住家用,鋼筋混凝土造,82年12月30日,七層,六層 陽台
RPOOMLTKKHOFFFK66CA,25,7.40,樓，電梯共同使用部,鋼筋混凝土造,82年12月30日,七層,
RPOOMLTKKHOFFFK66CA,25,17.57,防空避難室共同使用部分,鋼筋混凝土造,82年12月30日,七層,
RPTNMLKLKHOFFFK88CA,,64.71,集合住宅,鋼筋混凝土造,107年8月9日,十三層,五層 陽台 雨遮
RPTNMLKLKHOFFFK88CA,,57.43,防空避難室兼停車空間〈室內８６個〉、消防機房、停車空間、台電配電室、管委會使用空間、梯廳、垃圾儲藏間、管道間、蓄水池、機房等１０項,鋼筋混凝土造,107年8月9日,十三層,
RPPNMLPLKHOFFCK68CA,22,7.37,共有部分,鋼筋混凝土造,86年3月15日,五層,
RPPNMLPLKHOFFCK68CA,22,99.20,住家用,鋼筋混凝土造,86年3月15日,五層,五層 見其他登記事項
RPWNMLPJLHOFFFK96CA,9,191.88,停車空間、住宅、辦公室、機械室、騎樓、樓梯間,ＲＣ造,98年7月30日,四層,一層 二層 三層 四層 陽台 平台 雨遮
RPPNMLMKLHOFFCK38CA,,140.60,住商用,鋼骨水泥加強磚造,,二層,一層 二層 騎樓
RPPNMLQKLHOFFCK78CA,20,69.43,汽車保養所,鋼骨造,88年4月15日,一層,一層 騎樓
RPPNMLQKLHOFFCK78CA,20,102.05,汽車保養所,鋼骨造,88年4月15日,一層,一層 騎樓
RPQNMLTKLHOFFDK66CA,,45.72,共有部分,鋼筋混凝土造,107年11月20日,十層,
RPQNMLTKLHOFFDK66CA,,67.60,集合住宅,鋼筋混凝土造,107年11月20日,十層,八層 陽台 雨遮
RPQNMLTKLHOFFDK66CA,,31.50,共有部分,鋼筋混凝土造,107年11月20日,十層,
RPQNMLNLKHOFFEK78CA,44,78.90,住宅,木石磚造（雜木以外）,64年4月15日,二層,一層 二層
RPQNMLQKLHOFFCK88CA,20,69.43,汽車保養所,鋼骨造,88年4月15日,一層,一層 騎樓
RPQNMLQKLHOFFCK88CA,20,102.05,汽車保養所,鋼骨造,88年4月15日,一層,一層 騎樓
RPVNMLQLKHOFFDK86CA,7,265.96,住商用,鋼筋混凝土造,100年12月9日,三層,一層 二層 三層 騎樓 地下一層 見其他登記事項
RPVNMLQLKHOFFDK86CA,7,21.35,見其他登記事項,鋼筋混凝土造,100年12月9日,四層,
RPUOMLPLKHOFFBK56CA,,104.22,住家用,鋼筋混凝土造,107年10月3日,五層,三層 陽台
RPUOMLPLKHOFFBK56CA,,36.01,本共有部分之項目有停車空間（室內１１輛）及樓梯間等２項。,鋼筋混凝土造,107年10月3日,五層,
RPWOMLPLKHOFFBK76CA,,86.95,住家用,鋼筋混凝土造,107年10月3日,五層,三層 陽台
RPWOMLPLKHOFFBK76CA,,32.09,本共有部分之項目有停車空間（室內１１輛）及樓梯間等２項。,鋼筋混凝土造,107年10月3日,五層,
RPVOMLPLKHOFFBK66CA,,105.46,住家用,鋼筋混凝土造,107年10月3日,五層,三層 陽台
RPVOMLPLKHOFFBK66CA,,36.13,本共有部分之項目有停車空間（室內１１輛）及樓梯間等２項。,鋼筋混凝土造,107年10月3日,五層,
RPPOMLKLKHOFFDK38CA,1,146.53,住家用、停車空間,鋼筋混凝土造,107年5月10日,四層,一層 二層 三層 四層 陽台 雨遮
RPOOMLKLKHOFFDK28CA,1,151.98,住家用、停車空間,鋼筋混凝土造,107年5月10日,四層,一層 二層 三層 四層 陽台 雨遮
RPQOMLKLKHOFFDK48CA,,65.05,住家用,鋼筋混凝土造,105年10月26日,九層,四層 陽台
RPQNMLNLKHOFFDK68CA,2,103.51,集合住宅,鋼筋混凝土造,106年2月24日,十四層,十層 陽台
RPQOMLKLKHOFFDK48CA,,41.28,共有部分,鋼筋混凝土造,105年10月26日,九層,
RPQNMLNLKHOFFDK68CA,2,100.43,共有部分,鋼筋混凝土造,106年2月24日,十四層,
RPVOMLKLKHOFFDK98CA,1,175.11,住家用,鋼筋混凝土造,107年7月12日,三層,一層 二層 三層 見其他登記事項
RPVNMLMLKHOFFDK09CA,2,83.53,住家用,鋼筋混凝土造,105年10月12日,十二層,十一層 陽台
RPVNMLMLKHOFFDK09CA,2,37.54,共有部分,鋼筋混凝土造,105年10月12日,十二層,
RPVNMLMLKHOFFDK09CA,2,17.12,共有部分,鋼筋混凝土造,105年10月12日,十二層,
RPSNMLKLKHOFFDK58CA,12,46.12,住家用,鋼筋混凝土造,95年8月30日,五層,五層 陽台
RPSNMLKLKHOFFDK58CA,,23.76,機械室、停車空間、樓梯間,鋼筋混凝土造,,五層,
RPSOMLPJLHOFFDK09CA,6,390.81,住商用、停車空間、機電空間,鋼筋混凝土造,102年1月22日,四層,一層 二層 三層 四層 陽台 騎樓 雨遮 地下一層 見其他登記事項
RPUNMLQJLHOFFDK66CA,37,92.42,住家用,加強磚造,70年12月31日,二層,一層 二層
RPRNMLQLKHOFFFK66CA,41,167.11,住家用,鋼筋混凝土造,67年1月26日,三層,一層 二層 三層 陽台 平台 電梯樓梯間
